,DAS,TT_rape,Plant,Eabs
119,3,78.65,11,0.0
120,3,78.65,12,0.0
121,3,78.65,13,0.0
122,3,78.65,14,0.0
123,3,78.65,15,0.0
124,3,78.65,16,0.0
125,3,78.65,17,0.0
126,3,78.65,18,0.0
127,3,78.65,19,0.0
128,3,78.65,20,0.0
129,3,78.65,21,0.0
130,3,78.65,22,0.0
131,3,78.65,23,0.0
132,3,78.65,24,0.0
133,3,78.65,25,0.0
134,3,78.65,26,0.0
135,3,78.65,27,0.0
136,3,78.65,28,0.0
137,3,78.65,29,0.0
138,3,78.65,30,0.0
139,3,78.65,31,0.0
140,3,78.65,32,0.0
141,3,78.65,33,0.0
142,3,78.65,34,0.0
143,3,78.65,35,0.0
144,4,98.4,0,0.0
145,4,98.4,1,0.0
146,4,98.4,2,0.0
147,4,98.4,3,0.0
148,4,98.4,4,0.0
149,4,98.4,5,0.0
150,4,98.4,6,0.0
151,4,98.4,7,0.0
152,4,98.4,8,0.0
153,4,98.4,9,0.0
154,4,98.4,10,0.0
155,4,98.4,11,0.0
156,4,98.4,12,0.0
157,4,98.4,13,0.0
158,4,98.4,14,0.0
159,4,98.4,15,0.0
160,4,98.4,16,0.0
161,4,98.4,17,0.0
162,4,98.4,18,0.0
163,4,98.4,19,0.0
164,4,98.4,20,0.0
165,4,98.4,21,0.0
166,4,98.4,22,0.0
167,4,98.4,23,0.0
168,4,98.4,24,0.0
169,4,98.4,25,0.0
170,4,98.4,26,0.0
171,4,98.4,27,0.0
172,4,98.4,28,0.0
173,4,98.4,29,0.0
174,4,98.4,30,0.0
175,4,98.4,31,0.0
176,4,98.4,32,0.0
177,4,98.4,33,0.0
178,4,98.4,34,0.0
179,4,98.4,35,0.0
180,5,114.65,0,0.051958904725999996
181,5,114.65,1,0.051461752662
182,5,114.65,2,0.05195890542800001
183,5,114.65,3,0.051959025130999995
184,5,114.65,4,0.052456104522999994
185,5,114.65,5,0.050964242279999995
186,5,114.65,6,0.051710013951
187,5,114.65,7,0.052456252618
188,5,114.65,8,0.05096450879099999
189,5,114.65,9,0.05171041271599999
190,5,114.65,10,0.053201829778000004
191,5,114.65,11,0.051213270958000004
192,5,114.65,12,0.05146140886700001
193,5,114.65,13,0.051958907205
194,5,114.65,14,0.050964519677
195,5,114.65,15,0.051461546127
196,5,114.65,16,0.051710295809
197,5,114.65,17,0.052207796871
198,5,114.65,18,0.051461475155
199,5,114.65,19,0.05121313674999999
200,5,114.65,20,0.051461545142
201,5,114.65,21,0.051461737138
202,5,114.65,22,0.052455975461
203,5,114.65,23,0.05171028442199999
204,5,114.65,24,0.051461841927000006
205,5,114.65,25,0.052704851811
206,5,114.65,26,0.051958975821
207,5,114.65,27,0.050964415724
208,5,114.65,28,0.051959122143
209,5,114.65,29,0.05195876246199999
210,5,114.65,30,0.051710288816999996
211,5,114.65,31,0.05195890384099999
212,5,114.65,32,0.052704563778
213,5,114.65,33,0.050964286279
214,5,114.65,34,0.051461664958999995
215,5,114.65,35,0.052456192545
216,6,134.1,0,0.069226097258
217,6,134.1,1,0.06922578068499999
218,6,134.1,2,0.06845953613
219,6,134.1,3,0.068970256238
220,6,134.1,4,0.068459705036
221,6,134.1,5,0.068715162647
222,6,134.1,6,0.06871490169299999
223,6,134.1,7,0.068204117914
224,6,134.1,8,0.06820394762299999
225,6,134.1,9,0.068459703942
226,6,134.1,10,0.069481497947
227,6,134.1,11,0.068203964201
228,6,134.1,12,0.068459572647
229,6,134.1,13,0.068970464122
230,6,134.1,14,0.06845946435599999
231,6,134.1,15,0.068459639946
232,6,134.1,16,0.068970103371
233,6,134.1,17,0.068203925908
234,6,134.1,18,0.067948597212
235,6,134.1,19,0.068970324126
236,6,134.1,20,0.067948745667
237,6,134.1,21,0.067693576568
238,6,134.1,22,0.068714916771
239,6,134.1,23,0.068459712994
240,6,134.1,24,0.067948525679
241,6,134.1,25,0.068970384492
242,6,134.1,26,0.068203974633
243,6,134.1,27,0.06871507184100001
244,6,134.1,28,0.068459474262
245,6,134.1,29,0.069225622649
246,6,134.1,30,0.06845982089500001
247,6,134.1,31,0.06871498619500001
248,6,134.1,32,0.068970178286
249,6,134.1,33,0.069225822697
250,6,134.1,34,0.068714585353
251,6,134.1,35,0.068970414785
252,7,149.4,0,0.028800672083
253,7,149.4,1,0.028455100801999998
254,7,149.4,2,0.028628030734
255,7,149.4,3,0.028628165726
256,7,149.4,4,0.028368703691000002
257,7,149.4,5,0.02880126786
258,7,149.4,6,0.028627929270999997
259,7,149.4,7,0.028455055718000003
260,7,149.4,8,0.028714528118999997
261,7,149.4,9,0.028541752769
262,7,149.4,10,0.028541630395
263,7,149.4,11,0.028109429321000003
264,7,149.4,12,0.028368816171000004
265,7,149.4,13,0.028282199228000002
266,7,149.4,14,0.028628375931
267,7,149.4,15,0.028541677699
268,7,149.4,16,0.028281936798
269,7,149.4,17,0.028368708099000002
270,7,149.4,18,0.028109003326
271,7,149.4,19,0.028368433579999998
272,7,149.4,20,0.028627761531
273,7,149.4,21,0.028541442024
274,7,149.4,22,0.028714542084
275,7,149.4,23,0.028541660354000003
276,7,149.4,24,0.028541811328
277,7,149.4,25,0.028714309671
278,7,149.4,26,0.028454928371
279,7,149.4,27,0.028454905909999998
280,7,149.4,28,0.028541493241
281,7,149.4,29,0.028800885669999998
282,7,149.4,30,0.028714389876
283,7,149.4,31,0.028368777731
284,7,149.4,32,0.028627961691
285,7,149.4,33,0.028887663127
286,7,149.4,34,0.028109258995
287,7,149.4,35,0.028628041780000002
288,8,163.3,0,0.08656204828300001
289,8,163.3,1,0.087841294765
290,8,163.3,2,0.08656211549899999
291,8,163.3,3,0.087841216842
292,8,163.3,4,0.08634864699599999
293,8,163.3,5,0.08805440152299998
294,8,163.3,6,0.08592233535699999
295,8,163.3,7,0.086775323964
296,8,163.3,8,0.08784151990299999
297,8,163.3,9,0.08592285264
298,8,163.3,10,0.087841080807
299,8,163.3,11,0.08741470137400001
300,8,163.3,12,0.087414577937
301,8,163.3,13,0.087628265082
302,8,163.3,14,0.086988432603
303,8,163.3,15,0.086775332308
304,8,163.3,16,0.087628209072
305,8,163.3,17,0.086561944146
306,8,163.3,18,0.08805468743200001
307,8,163.3,19,0.08698809719999999
308,8,163.3,20,0.08698849541800001
309,8,163.3,21,0.087414805139
310,8,163.3,22,0.08656218143600002
311,8,163.3,23,0.08741479498499999
312,8,163.3,24,0.086988415599
313,8,163.3,25,0.086988435978
314,8,163.3,26,0.08741487675899999
315,8,163.3,27,0.08656183388000001
316,8,163.3,28,0.0872012918
317,8,163.3,29,0.08805468500000001
318,8,163.3,30,0.086988792042
319,8,163.3,31,0.08656164199399999
320,8,163.3,32,0.08677523368000001
321,8,163.3,33,0.08762806802499999
322,8,163.3,34,0.086988271773
323,8,163.3,35,0.08720172711700001
324,9,176.55,0,0.103127957777
325,9,176.55,1,0.103755437631
326,9,176.55,2,0.10438273551100001
327,9,176.55,3,0.10270979843599999
328,9,176.55,4,0.10459231954900002
329,9,176.55,5,0.103127603027
330,9,176.55,6,0.10375537702
331,9,176.55,7,0.10333670165600001
332,9,176.55,8,0.10250023089699999
333,9,176.55,9,0.10375535854
334,9,176.55,10,0.103128059848
335,9,176.55,11,0.10396451487500001
336,9,176.55,12,0.103546157624
337,9,176.55,13,0.104382875789
338,9,176.55,14,0.10375504088
339,9,176.55,15,0.103127786737
340,9,176.55,16,0.103127803061
341,9,176.55,17,0.104592261669
342,9,176.55,18,0.1035458015
343,9,176.55,19,0.103964457254
344,9,176.55,20,0.10291856352699999
345,9,176.55,21,0.10417358205399999
346,9,176.55,22,0.103964748232
347,9,176.55,23,0.102709820419
348,9,176.55,24,0.103336507226
349,9,176.55,25,0.103964638293
350,9,176.55,26,0.10354620345400001
351,9,176.55,27,0.10480110285399999
352,9,176.55,28,0.103336935333
353,9,176.55,29,0.102918422542
354,9,176.55,30,0.10291853706000001
355,9,176.55,31,0.104173977932
356,9,176.55,32,0.10291885273999998
357,9,176.55,33,0.104382703508
358,9,176.55,34,0.103964383483
359,9,176.55,35,0.104801286347
360,10,190.05,0,0.190445808143
361,10,190.05,1,0.190124891181
362,10,190.05,2,0.188842490111
363,10,190.05,3,0.18852118976100002
364,10,190.05,4,0.18755954601299998
365,10,190.05,5,0.191406581118
366,10,190.05,6,0.18852159455399997
367,10,190.05,7,0.18948331503000002
368,10,190.05,8,0.18980415750300003
369,10,190.05,9,0.18884235806500002
370,10,190.05,10,0.18884208924499998
371,10,190.05,11,0.18916245626499997
372,10,190.05,12,0.189803975792
373,10,190.05,13,0.18852158282800002
374,10,190.05,14,0.189483522835
375,10,190.05,15,0.19012445992
376,10,190.05,16,0.19012449646299998
377,10,190.05,17,0.190124668212
378,10,190.05,18,0.188841955586
379,10,190.05,19,0.189483441891
380,10,190.05,20,0.18852165382
381,10,190.05,21,0.18820149753599996
382,10,190.05,22,0.18980408589899997
383,10,190.05,23,0.19012451156700003
384,10,190.05,24,0.18980429467899998
385,10,190.05,25,0.19140737435400001
386,10,190.05,26,0.18916323424300002
387,10,190.05,27,0.188842079114
388,10,190.05,28,0.18948320043999997
389,10,190.05,29,0.19076644956300004
390,10,190.05,30,0.190124888778
391,10,190.05,31,0.18948362498099997
392,10,190.05,32,0.189803675307
393,10,190.05,33,0.18916264320099999
394,10,190.05,34,0.18884228360399996
395,10,190.05,35,0.18884277432
396,11,206.05,0,0.187243666471
397,11,206.05,1,0.18800267756099998
398,11,206.05,2,0.185978333908
399,11,206.05,3,0.188003160533
400,11,206.05,4,0.186232085735
401,11,206.05,5,0.186485359186
402,11,206.05,6,0.18623126812899998
403,11,206.05,7,0.185978296705
404,11,206.05,8,0.186737418057
405,11,206.05,9,0.184967142566
406,11,206.05,10,0.18825614189599998
407,11,206.05,11,0.18673798335000003
408,11,206.05,12,0.187749951051
409,11,206.05,13,0.184713315833
410,11,206.05,14,0.186484918191
411,11,206.05,15,0.18547256376399998
412,11,206.05,16,0.185725563328
413,11,206.05,17,0.18648464963300002
414,11,206.05,18,0.186231284942
415,11,206.05,19,0.18724367141799997
416,11,206.05,20,0.18673768930700002
417,11,206.05,21,0.186484706271
418,11,206.05,22,0.185978522656
419,11,206.05,23,0.187496622962
420,11,206.05,24,0.186738212134
421,11,206.05,25,0.186484801391
422,11,206.05,26,0.186231908841
423,11,206.05,27,0.186990448202
424,11,206.05,28,0.185726054225
425,11,206.05,29,0.187243974597
426,11,206.05,30,0.185725929229
427,11,206.05,31,0.18597827810099996
428,11,206.05,32,0.18471425059299998
429,11,206.05,33,0.186231661819
430,11,206.05,34,0.18699070382099997
431,11,206.05,35,0.186990876942
432,12,224.45000000000002,0,0.238551484162
433,12,224.45000000000002,1,0.23954701959199998
434,12,224.45000000000002,2,0.23979577091100002
435,12,224.45000000000002,3,0.238799735488
436,12,224.45000000000002,4,0.239049095353
437,12,224.45000000000002,5,0.238551442719
438,12,224.45000000000002,6,0.23954702556000002
439,12,224.45000000000002,7,0.23780398673699998
440,12,224.45000000000002,8,0.23880050480999998
441,12,224.45000000000002,9,0.239546580713
442,12,224.45000000000002,10,0.239795883694
443,12,224.45000000000002,11,0.240294210029
444,12,224.45000000000002,12,0.237306166816
445,12,224.45000000000002,13,0.23755489711400002
446,12,224.45000000000002,14,0.239547480361
447,12,224.45000000000002,15,0.239796549871
448,12,224.45000000000002,16,0.239796238542
449,12,224.45000000000002,17,0.23954743381000002
450,12,224.45000000000002,18,0.23855056636799998
451,12,224.45000000000002,19,0.24029449881999998
452,12,224.45000000000002,20,0.23780404189600002
453,12,224.45000000000002,21,0.238800257854
454,12,224.45000000000002,22,0.237804316141
455,12,224.45000000000002,23,0.23904963236299998
456,12,224.45000000000002,24,0.239546516185
457,12,224.45000000000002,25,0.239796711874
458,12,224.45000000000002,26,0.238800078744
459,12,224.45000000000002,27,0.238800283643
460,12,224.45000000000002,28,0.238550940555
461,12,224.45000000000002,29,0.23755541527100002
462,12,224.45000000000002,30,0.24029451622400003
463,12,224.45000000000002,31,0.23730614803899996
464,12,224.45000000000002,32,0.23830236549599998
465,12,224.45000000000002,33,0.23830228351899999
466,12,224.45000000000002,34,0.241041229297
467,12,224.45000000000002,35,0.239298267061
468,13,243.45000000000002,0,0.277126643599
469,13,243.45000000000002,1,0.279347785436
470,13,243.45000000000002,2,0.27845967218199996
471,13,243.45000000000002,3,0.278015317076
472,13,243.45000000000002,4,0.277793014598
473,13,243.45000000000002,5,0.27779362064199997
474,13,243.45000000000002,6,0.27712740889599996
475,13,243.45000000000002,7,0.277127048811
476,13,243.45000000000002,8,0.27646009397099996
477,13,243.45000000000002,9,0.276682667965
478,13,243.45000000000002,10,0.277126609906
479,13,243.45000000000002,11,0.276905224213
480,13,243.45000000000002,12,0.277127281107
481,13,243.45000000000002,13,0.277126815247
482,13,243.45000000000002,14,0.27779353343
483,13,243.45000000000002,15,0.277349276954
484,13,243.45000000000002,16,0.27801513054000004
485,13,243.45000000000002,17,0.278237960597
486,13,243.45000000000002,18,0.278237824215
487,13,243.45000000000002,19,0.27979187727099997
488,13,243.45000000000002,20,0.277350071198
489,13,243.45000000000002,21,0.278237526952
490,13,243.45000000000002,22,0.27557358041900004
491,13,243.45000000000002,23,0.276460654677
492,13,243.45000000000002,24,0.27845948763600004
493,13,243.45000000000002,25,0.277349276427
494,13,243.45000000000002,26,0.276682539858
495,13,243.45000000000002,27,0.27757091883
496,13,243.45000000000002,28,0.27734975217400004
497,13,243.45000000000002,29,0.277793360184
498,13,243.45000000000002,30,0.27823700328400003
499,13,243.45000000000002,31,0.27690484054000003
500,13,243.45000000000002,32,0.27779303736
501,13,243.45000000000002,33,0.276238493106
502,13,243.45000000000002,34,0.27890392336799996
503,13,243.45000000000002,35,0.278459459833
504,14,261.75,0,0.39981881994
505,14,261.75,1,0.400311549281
506,14,261.75,2,0.402527147937
507,14,261.75,3,0.40252694787199994
508,14,261.75,4,0.39957351571099997
509,14,261.75,5,0.40055790245199996
510,14,261.75,6,0.400064484895
511,14,261.75,7,0.400311819918
512,14,261.75,8,0.400803641345
513,14,261.75,9,0.40104948733600004
514,14,261.75,10,0.400065325797
515,14,261.75,11,0.40080358605
516,14,261.75,12,0.39957267423299997
517,14,261.75,13,0.401049037638
518,14,261.75,14,0.401541528745
519,14,261.75,15,0.400556754529
520,14,261.75,16,0.401049740181
521,14,261.75,17,0.401542135463
522,14,261.75,18,0.399819397121
523,14,261.75,19,0.40055750972000004
524,14,261.75,20,0.39908089444100003
525,14,261.75,21,0.40252691318699996
526,14,261.75,22,0.40080300471
527,14,261.75,23,0.400802549935
528,14,261.75,24,0.401048802776
529,14,261.75,25,0.40252670429900006
530,14,261.75,26,0.40080272593699995
531,14,261.75,27,0.39809566774
532,14,261.75,28,0.402527175109
533,14,261.75,29,0.401295440444
534,14,261.75,30,0.402280874759
535,14,261.75,31,0.39957291058800004
536,14,261.75,32,0.40080378725
537,14,261.75,33,0.39957259429799996
538,14,261.75,34,0.401294506987
539,14,261.75,35,0.401048778851
540,15,280.55,0,0.403387059437
541,15,280.55,1,0.404909890005
542,15,280.55,2,0.40300701200699995
543,15,280.55,3,0.40433809882399996
544,15,280.55,4,0.40414832194
545,15,280.55,5,0.404909004203
546,15,280.55,6,0.403388301372
547,15,280.55,7,0.401864325226
548,15,280.55,8,0.401484463425
549,15,280.55,9,0.403577800753
550,15,280.55,10,0.40300811868700004
551,15,280.55,11,0.40376841788000006
552,15,280.55,12,0.40338741904600006
553,15,280.55,13,0.40472028513400005
554,15,280.55,14,0.40376767674299996
555,15,280.55,15,0.404719532176
556,15,280.55,16,0.40414954211599996
557,15,280.55,17,0.40281713671999997
558,15,280.55,18,0.40452862038899995
559,15,280.55,19,0.404339204723
560,15,280.55,20,0.40395872556100004
561,15,280.55,21,0.40357698445
562,15,280.55,22,0.404337476064
563,15,280.55,23,0.4045295396430001
564,15,280.55,24,0.40376799765900007
565,15,280.55,25,0.404339038735
566,15,280.55,26,0.402626804668
567,15,280.55,27,0.404148463573
568,15,280.55,28,0.404147898122
569,15,280.55,29,0.402245647448
570,15,280.55,30,0.403576926764
571,15,280.55,31,0.405100077189
572,15,280.55,32,0.40509910003899996
573,15,280.55,33,0.40243574040900004
574,15,280.55,34,0.404909013725
575,15,280.55,35,0.404148058679
576,16,295.95,0,0.566822292769
577,16,295.95,1,0.5675193039850002
578,16,295.95,2,0.5665898802949999
579,16,295.95,3,0.567750835268
580,16,295.95,4,0.5665899673800001
581,16,295.95,5,0.567053943669
582,16,295.95,6,0.567518020527
583,16,295.95,7,0.565195833707
584,16,295.95,8,0.5684473693920001
585,16,295.95,9,0.566357082812
586,16,295.95,10,0.5677506253540001
587,16,295.95,11,0.567518713351
588,16,295.95,12,0.5677501855010001
589,16,295.95,13,0.56798346483
590,16,295.95,14,0.5663582318139999
591,16,295.95,15,0.5651974552260001
592,16,295.95,16,0.567518518514
593,16,295.95,17,0.5668217170279999
594,16,295.95,18,0.569376108674
595,16,295.95,19,0.568446950204
596,16,295.95,20,0.566357336521
597,16,295.95,21,0.56705387665
598,16,295.95,22,0.567285715127
599,16,295.95,23,0.566357993815
600,16,295.95,24,0.567983137896
601,16,295.95,25,0.569144235502
602,16,295.95,26,0.5658953516099998
603,16,295.95,27,0.5647344786280001
604,16,295.95,28,0.5656609325340001
605,16,295.95,29,0.567286110219
606,16,295.95,30,0.5679823318339999
607,16,295.95,31,0.5693749633009999
608,16,295.95,32,0.568910457336
609,16,295.95,33,0.567982670469
610,16,295.95,34,0.567053731644
611,16,295.95,35,0.567518971048
612,17,314.84999999999997,0,0.880395517878
613,17,314.84999999999997,1,0.878457285421
614,17,314.84999999999997,2,0.880393969732
615,17,314.84999999999997,3,0.879841389792
616,17,314.84999999999997,4,0.8803939856899999
617,17,314.84999999999997,5,0.8792884008240002
618,17,314.84999999999997,6,0.8809496262729999
619,17,314.84999999999997,7,0.880946531795
620,17,314.84999999999997,8,0.882331622374
621,17,314.84999999999997,9,0.8781807997239999
622,17,314.84999999999997,10,0.877904130016
623,17,314.84999999999997,11,0.87984155976
624,17,314.84999999999997,12,0.879841216487
625,17,314.84999999999997,13,0.882610130951
626,17,314.84999999999997,14,0.8809482346090002
627,17,314.84999999999997,15,0.880117556303
628,17,314.84999999999997,16,0.8792868715709999
629,17,314.84999999999997,17,0.8815020558750001
630,17,314.84999999999997,18,0.8790113782919999
631,17,314.84999999999997,19,0.882056638615
632,17,314.84999999999997,20,0.8787345700810001
633,17,314.84999999999997,21,0.8812237598710001
634,17,314.84999999999997,22,0.8765188842599999
635,17,314.84999999999997,23,0.8812245212440001
636,17,314.84999999999997,24,0.881777970614
637,17,314.84999999999997,25,0.881778661715
638,17,314.84999999999997,26,0.879009732385
639,17,314.84999999999997,27,0.87928829993
640,17,314.84999999999997,28,0.879011008324
641,17,314.84999999999997,29,0.882332068578
642,17,314.84999999999997,30,0.8784578363319998
643,17,314.84999999999997,31,0.8809498171689999
644,17,314.84999999999997,32,0.8803960842520001
645,17,314.84999999999997,33,0.8809467977640001
646,17,314.84999999999997,34,0.8820546116089999
647,17,314.84999999999997,35,0.880948620053
648,18,335.34999999999997,0,1.1383384219389996
649,18,335.34999999999997,1,1.141057770519
650,18,335.34999999999997,2,1.140515308866
651,18,335.34999999999997,3,1.137794829563
652,18,335.34999999999997,4,1.140784942641
653,18,335.34999999999997,5,1.13942623604
654,18,335.34999999999997,6,1.138337681246
655,18,335.34999999999997,7,1.13806625928
656,18,335.34999999999997,8,1.141602397384
657,18,335.34999999999997,9,1.1388827041729999
658,18,335.34999999999997,10,1.1386105944830003
659,18,335.34999999999997,11,1.138609375824
660,18,335.34999999999997,12,1.140242621527
661,18,335.34999999999997,13,1.139968488318
662,18,335.34999999999997,14,1.13997039952
663,18,335.34999999999997,15,1.139696118176
664,18,335.34999999999997,16,1.136978322188
665,18,335.34999999999997,17,1.135889719159
666,18,335.34999999999997,18,1.138883408541
667,18,335.34999999999997,19,1.1388817758819998
668,18,335.34999999999997,20,1.140242708005
669,18,335.34999999999997,21,1.1380660280950001
670,18,335.34999999999997,22,1.136434928248
671,18,335.34999999999997,23,1.1386103417319997
672,18,335.34999999999997,24,1.1377928654640002
673,18,335.34999999999997,25,1.138066763676
674,18,335.34999999999997,26,1.1388808547990001
675,18,335.34999999999997,27,1.1396998118190003
676,18,335.34999999999997,28,1.1402408326179998
677,18,335.34999999999997,29,1.139697245889
678,18,335.34999999999997,30,1.139970198989
679,18,335.34999999999997,31,1.137523008846
680,18,335.34999999999997,32,1.138882040355
681,18,335.34999999999997,33,1.13643294883
682,18,335.34999999999997,34,1.138337418359
683,18,335.34999999999997,35,1.1410590476490001
684,19,352.59999999999997,0,0.876858026548
685,19,352.59999999999997,1,0.8774984818769999
686,19,352.59999999999997,2,0.875573814458
687,19,352.59999999999997,3,0.877339473824
688,19,352.59999999999997,4,0.8758972733020001
689,19,352.59999999999997,5,0.8784638508860001
690,19,352.59999999999997,6,0.876537150182
691,19,352.59999999999997,7,0.876376826673
692,19,352.59999999999997,8,0.876535555311
693,19,352.59999999999997,9,0.8770182920899999
694,19,352.59999999999997,10,0.8768600030179999
695,19,352.59999999999997,11,0.877819723126
696,19,352.59999999999997,12,0.8765381489660001
697,19,352.59999999999997,13,0.8783043176930001
698,19,352.59999999999997,14,0.878464106991
699,19,352.59999999999997,15,0.8757346024389999
700,19,352.59999999999997,16,0.876859229837
701,19,352.59999999999997,17,0.876055462387
702,19,352.59999999999997,18,0.8757357349779998
703,19,352.59999999999997,19,0.87621671165
704,19,352.59999999999997,20,0.875253213261
705,19,352.59999999999997,21,0.876538050432
706,19,352.59999999999997,22,0.876216460625
707,19,352.59999999999997,23,0.8765378394919998
708,19,352.59999999999997,24,0.8781404067449999
709,19,352.59999999999997,25,0.8762162243330001
710,19,352.59999999999997,26,0.876537526794
711,19,352.59999999999997,27,0.877339267044
712,19,352.59999999999997,28,0.879267317148
713,19,352.59999999999997,29,0.8770163749940002
714,19,352.59999999999997,30,0.8768592344639999
715,19,352.59999999999997,31,0.877339044748
716,19,352.59999999999997,32,0.8766965160150001
717,19,352.59999999999997,33,0.877497495686
718,19,352.59999999999997,34,0.8765378941079998
719,19,352.59999999999997,35,0.877501512125
720,20,365.15,0,1.393963903579
721,20,365.15,1,1.3959160247709999
722,20,365.15,2,1.3950477519079998
723,20,365.15,3,1.3926570233479998
724,20,365.15,4,1.3967863705239998
725,20,365.15,5,1.395266849864
726,20,365.15,6,1.3957012514770002
727,20,365.15,7,1.3935305523280002
728,20,365.15,8,1.3935284191130002
729,20,365.15,9,1.392661957135
730,20,365.15,10,1.3922234267290001
731,20,365.15,11,1.393963224505
732,20,365.15,12,1.393310951287
733,20,365.15,13,1.396569939267
734,20,365.15,14,1.3952669277960001
735,20,365.15,15,1.3928790352249998
736,20,365.15,16,1.392660022037
737,20,365.15,17,1.392661722228
738,20,365.15,18,1.39483210183
739,20,365.15,19,1.3941773192159999
740,20,365.15,20,1.3952670544630001
741,20,365.15,21,1.396135303605
742,20,365.15,22,1.3952667241770003
743,20,365.15,23,1.395698051545
744,20,365.15,24,1.395267378887
745,20,365.15,25,1.393526925086
746,20,365.15,26,1.3952655755449999
747,20,365.15,27,1.394399907537
748,20,365.15,28,1.3950482350399998
749,20,365.15,29,1.3946134370499998
750,20,365.15,30,1.393528454109
751,20,365.15,31,1.395700838147
752,20,365.15,32,1.394831972891
753,20,365.15,33,1.392876234294
754,20,365.15,34,1.393530805179
755,20,365.15,35,1.393526628524
756,21,379.0,0,1.595856583483
757,21,379.0,1,1.5991635718359998
758,21,379.0,2,1.5973002358700004
759,21,379.0,3,1.597507351258
760,21,379.0,4,1.599783041535
761,21,379.0,5,1.5993692538520001
762,21,379.0,6,1.594408293175
763,21,379.0,7,1.596267665127
764,21,379.0,8,1.5993680169089999
765,21,379.0,9,1.5956487964860002
766,21,379.0,10,1.59833766091
767,21,379.0,11,1.596887902065
768,21,379.0,12,1.5987495244949999
769,21,379.0,13,1.5944054488530002
770,21,379.0,14,1.598336738354
771,21,379.0,15,1.5989584779560002
772,21,379.0,16,1.5933706630620001
773,21,379.0,17,1.5946133513290002
774,21,379.0,18,1.597303475411
775,21,379.0,19,1.595238347952
776,21,379.0,20,1.595853507529
777,21,379.0,21,1.5968864601510002
778,21,379.0,22,1.5993715932279997
779,21,379.0,23,1.5939944820510001
780,21,379.0,24,1.5999922906540003
