,DAS,TT_rape,Plant,Eabs
0,0,18.55,0,0.0
1,0,18.55,1,0.0
2,0,18.55,2,0.0
3,0,18.55,3,0.0
4,0,18.55,4,0.0
5,0,18.55,5,0.0
6,0,18.55,6,0.0
7,0,18.55,7,0.0
8,0,18.55,8,0.0
9,0,18.55,9,0.0
10,0,18.55,10,0.0
11,0,18.55,11,0.0
12,0,18.55,12,0.0
13,0,18.55,13,0.0
14,0,18.55,14,0.0
15,0,18.55,15,0.0
16,0,18.55,16,0.0
17,0,18.55,17,0.0
18,0,18.55,18,0.0
19,0,18.55,19,0.0
20,0,18.55,20,0.0
21,0,18.55,21,0.0
22,0,18.55,22,0.0
23,0,18.55,23,0.0
24,0,18.55,24,0.0
25,0,18.55,25,0.0
26,0,18.55,26,0.0
27,0,18.55,27,0.0
28,0,18.55,28,0.0
29,0,18.55,29,0.0
30,0,18.55,30,0.0
31,0,18.55,31,0.0
32,0,18.55,32,0.0
33,0,18.55,33,0.0
34,0,18.55,34,0.0
35,0,18.55,35,0.0
36,1,38.6,0,0.0
37,1,38.6,1,0.0
38,1,38.6,2,0.0
39,1,38.6,3,0.0
40,1,38.6,4,0.0
41,1,38.6,5,0.0
42,1,38.6,6,0.0
43,1,38.6,7,0.0
44,1,38.6,8,0.0
45,1,38.6,9,0.0
46,1,38.6,10,0.0
47,1,38.6,11,0.0
48,1,38.6,12,0.0
49,1,38.6,13,0.0
50,1,38.6,14,0.0
51,1,38.6,15,0.0
52,1,38.6,16,0.0
53,1,38.6,17,0.0
54,1,38.6,18,0.0
55,1,38.6,19,0.0
56,1,38.6,20,0.0
57,1,38.6,21,0.0
58,1,38.6,22,0.0
59,1,38.6,23,0.0
60,1,38.6,24,0.0
61,1,38.6,25,0.0
62,1,38.6,26,0.0
63,1,38.6,27,0.0
64,1,38.6,28,0.0
65,1,38.6,29,0.0
66,1,38.6,30,0.0
67,1,38.6,31,0.0
68,1,38.6,32,0.0
69,1,38.6,33,0.0
70,1,38.6,34,0.0
71,1,38.6,35,0.0
72,2,57.7,0,0.0
73,2,57.7,1,0.0
74,2,57.7,2,0.0
75,2,57.7,3,0.0
76,2,57.7,4,0.0
77,2,57.7,5,0.0
78,2,57.7,6,0.0
79,2,57.7,7,0.0
80,2,57.7,8,0.0
81,2,57.7,9,0.0
82,2,57.7,10,0.0
83,2,57.7,11,0.0
84,2,57.7,12,0.0
85,2,57.7,13,0.0
86,2,57.7,14,0.0
87,2,57.7,15,0.0
88,2,57.7,16,0.0
89,2,57.7,17,0.0
90,2,57.7,18,0.0
91,2,57.7,19,0.0
92,2,57.7,20,0.0
93,2,57.7,21,0.0
94,2,57.7,22,0.0
95,2,57.7,23,0.0
96,2,57.7,24,0.0
97,2,57.7,25,0.0
98,2,57.7,26,0.0
99,2,57.7,27,0.0
100,2,57.7,28,0.0
101,2,57.7,29,0.0
102,2,57.7,30,0.0
103,2,57.7,31,0.0
104,2,57.7,32,0.0
105,2,57.7,33,0.0
106,2,57.7,34,0.0
107,2,57.7,35,0.0
108,3,78.65,0,0.0
109,3,78.65,1,0.0
110,3,78.65,2,0.0
111,3,78.65,3,0.0
112,3,78.65,4,0.0
113,3,78.65,5,0.0
114,3,78.65,6,0.0
115,3,78.65,7,0.0
116,3,78.65,8,0.0
117,3,78.65,9,0.0
118,3,78.65,10,0.0
