"Species"	"Treatment"	"Parameter"	"Level"	"Value"	"Pvalue"	"se"
"Fababean"	"intercrop_faba_vigo"	"rmax"	"q3"	0.76939753661012	NA	NA
"Fababean"	"monocrop_faba"	"rmax"	"Default"	0.642321291818379	0.407	0.0499089399701729
"Fababean"	"monocrop_faba"	"rmax"	"q1"	0.564488613361871	NA	NA
"Fababean"	"monocrop_faba"	"rmax"	"q3"	0.722340850504923	NA	NA
"Fababean"	"intercrop_faba_aviso_RRF"	"k"	"Default"	2.32545671228301	0.424	0.770704567617404
"Fababean"	"intercrop_faba_aviso_RRF"	"k"	"q1"	1.2262242541545	NA	NA
"Fababean"	"intercrop_faba_aviso_RRF"	"k"	"q3"	2.11939966290699	NA	NA
"Fababean"	"intercrop_faba_vigo"	"k"	"Default"	4.17543840243239	0.116	2.21711277013458
"Fababean"	"intercrop_faba_vigo"	"k"	"q1"	1.05468649830538	NA	NA
"Fababean"	"intercrop_faba_vigo"	"k"	"q3"	5.7823412220726	NA	NA
"Fababean"	"monocrop_faba"	"k"	"Default"	2.16111930978653	0.424	0.564649959826802
"Fababean"	"monocrop_faba"	"k"	"q1"	1.2283648538666	NA	NA
"Fababean"	"monocrop_faba"	"k"	"q3"	2.20300122289185	NA	NA
"Fababean"	"monocrop_faba"	"L_height"	"Default"	29.3103473637122	NA	2.38569003040571
"Fababean"	"monocrop_faba"	"L_height"	"q1"	24.634394904117	NA	2.38569003040571
"Fababean"	"monocrop_faba"	"L_height"	"q3"	33.9862998233074	NA	2.38569003040571
"Fababean"	"monocrop_faba"	"x0_height"	"Default"	521.436608126451	NA	120.347690651496
"Fababean"	"monocrop_faba"	"x0_height"	"q1"	285.555134449519	NA	120.347690651496
"Fababean"	"monocrop_faba"	"x0_height"	"q3"	757.318081803382	NA	120.347690651496
"Fababean"	"monocrop_faba"	"k_height"	"Default"	0.0118409204221468	NA	0.0181029867414191
"Fababean"	"monocrop_faba"	"k_height"	"q1"	-0.0236409335910346	NA	0.0181029867414191
"Fababean"	"monocrop_faba"	"k_height"	"q3"	0.0473227744353282	NA	0.0181029867414191
"Fababean"	"intercrop_faba_aviso_RRF"	"L_height"	"Default"	39.266801048852	NA	2.217615797221
"Fababean"	"intercrop_faba_aviso_RRF"	"L_height"	"q1"	34.9202740862989	NA	2.217615797221
"Fababean"	"intercrop_faba_aviso_RRF"	"L_height"	"q3"	43.6133280114052	NA	2.217615797221
"Fababean"	"intercrop_faba_aviso_RRF"	"x0_height"	"Default"	467.492598148174	NA	214.936239655681
"Fababean"	"intercrop_faba_aviso_RRF"	"x0_height"	"q1"	46.2175684230381	NA	214.936239655681
"Fababean"	"intercrop_faba_aviso_RRF"	"x0_height"	"q3"	888.767627873309	NA	214.936239655681
"Fababean"	"intercrop_faba_aviso_RRF"	"k_height"	"Default"	0.0471506938911511	NA	0.451854770903754
"Fababean"	"intercrop_faba_aviso_RRF"	"k_height"	"q1"	-0.838484657080206	NA	0.451854770903754
"Fababean"	"intercrop_faba_aviso_RRF"	"k_height"	"q3"	0.932786044862508	NA	0.451854770903754
"Fababean"	"intercrop_faba_vigo"	"L_height"	"Default"	40.9997023220746	NA	2.53490761802821
"Fababean"	"intercrop_faba_vigo"	"L_height"	"q1"	36.0312833907393	NA	2.53490761802821
"Fababean"	"intercrop_faba_vigo"	"L_height"	"q3"	45.9681212534099	NA	2.53490761802821
"Fababean"	"intercrop_faba_vigo"	"x0_height"	"Default"	449.842538658607	NA	186.690625364539
"Fababean"	"intercrop_faba_vigo"	"x0_height"	"q1"	83.9289129441096	NA	186.690625364539
"Fababean"	"intercrop_faba_vigo"	"x0_height"	"q3"	815.756164373104	NA	186.690625364539
"Fababean"	"intercrop_faba_vigo"	"k_height"	"Default"	0.180995089708535	NA	6.97835324261649
"Fababean"	"intercrop_faba_vigo"	"k_height"	"q1"	-13.4965772658198	NA	6.97835324261649
"Fababean"	"intercrop_faba_vigo"	"k_height"	"q3"	13.8585674452368	NA	6.97835324261649
"Fababean"	"monocrop_faba"	"phyllot"	"Default"	163.5	NA	NA
"Fababean"	"intercrop_faba_aviso_RRF"	"phyllot"	"Default"	163.5	NA	NA
"Fababean"	"intercrop_faba_aviso_RF"	"phyllot"	"Default"	163.5	NA	NA
"Fababean"	"intercrop_faba_vigo"	"phyllot"	"Default"	163.5	NA	NA
"Fababean"	"monocrop_faba"	"phyllot"	"q1"	147.15	NA	NA
"Fababean"	"intercrop_faba_aviso_RRF"	"phyllot"	"q1"	147.15	NA	NA
"Fababean"	"intercrop_faba_aviso_RF"	"phyllot"	"q1"	147.15	NA	NA
"Fababean"	"intercrop_faba_vigo"	"phyllot"	"q1"	147.15	NA	NA
