"Species"	"Treatment"	"Parameter"	"Level"	"Value"	"Pvalue"	"se"
"Rapeseed"	"intercrop_aviso_RRF"	"k"	"Default"	7.39074533273133	0.348	1.07538655698481
"Rapeseed"	"intercrop_aviso_RRF"	"k"	"q1"	3.28391734453831	NA	NA
"Rapeseed"	"intercrop_aviso_RRF"	"k"	"q3"	10.5782617431435	NA	NA
"Rapeseed"	"intercrop_vigo"	"k"	"Default"	9.96232011705795	0.185	3.44113944954792
"Rapeseed"	"intercrop_vigo"	"k"	"q1"	4.0252427278207	NA	NA
"Rapeseed"	"intercrop_vigo"	"k"	"q3"	10.8676893812091	NA	NA
"Rapeseed"	"intercrop_aviso_RF"	"growth_node"	"Default"	0.000161864508188314	0.492	1.53190894090418e-05
"Rapeseed"	"intercrop_aviso_RF"	"growth_node"	"q1"	0.000157590857807105	NA	NA
"Rapeseed"	"intercrop_aviso_RF"	"growth_node"	"q3"	0.000175219665629594	NA	NA
"Rapeseed"	"intercrop_aviso_RRF"	"growth_node"	"Default"	0.000244821234561268	0.492	3.25429849948347e-05
"Rapeseed"	"intercrop_aviso_RRF"	"growth_node"	"q1"	0.000194896264259747	NA	NA
"Rapeseed"	"intercrop_aviso_RRF"	"growth_node"	"q3"	0.000270308386611508	NA	NA
"Rapeseed"	"intercrop_vigo"	"growth_node"	"Default"	0.000587277149483336	0.012	5.85648601149137e-05
"Rapeseed"	"intercrop_vigo"	"growth_node"	"q1"	0.000496544753666792	NA	NA
"Rapeseed"	"intercrop_vigo"	"growth_node"	"q3"	0.000705152312899586	NA	NA
"Rapeseed"	"monocrop_aviso"	"growth_node"	"Default"	0.0002148609224309	0.492	1.70438949876874e-05
"Rapeseed"	"monocrop_aviso"	"growth_node"	"q1"	0.000188040616773223	NA	NA
"Rapeseed"	"monocrop_aviso"	"growth_node"	"q3"	0.000247586812084744	NA	NA
"Rapeseed"	"monocrop_vigo"	"growth_node"	"Default"	0.000399562992114233	0.012	3.81247107606708e-05
"Rapeseed"	"monocrop_vigo"	"growth_node"	"q1"	0.000338864861476746	NA	NA
"Rapeseed"	"monocrop_vigo"	"growth_node"	"q3"	0.000445617086624044	NA	NA
"Rapeseed"	"monocrop_aviso"	"phyllot"	"Default"	137.5	NA	NA
"Rapeseed"	"monocrop_vigo"	"phyllot"	"Default"	137.5	NA	NA
"Rapeseed"	"intercrop_aviso_RRF"	"phyllot"	"Default"	137.5	NA	NA
"Rapeseed"	"intercrop_aviso_RF"	"phyllot"	"Default"	137.5	NA	NA
"Rapeseed"	"intercrop_vigo"	"phyllot"	"Default"	137.5	NA	NA
"Rapeseed"	"monocrop_aviso"	"phyllot"	"q1"	123.75	NA	NA
"Rapeseed"	"monocrop_vigo"	"phyllot"	"q1"	123.75	NA	NA
"Rapeseed"	"intercrop_aviso_RRF"	"phyllot"	"q1"	123.75	NA	NA
"Rapeseed"	"intercrop_aviso_RF"	"phyllot"	"q1"	123.75	NA	NA
"Rapeseed"	"intercrop_vigo"	"phyllot"	"q1"	123.75	NA	NA
"Rapeseed"	"monocrop_aviso"	"phyllot"	"q3"	151.25	NA	NA
"Rapeseed"	"monocrop_vigo"	"phyllot"	"q3"	151.25	NA	NA
"Rapeseed"	"intercrop_aviso_RRF"	"phyllot"	"q3"	151.25	NA	NA
"Rapeseed"	"intercrop_aviso_RF"	"phyllot"	"q3"	151.25	NA	NA
"Rapeseed"	"intercrop_vigo"	"phyllot"	"q3"	151.25	NA	NA
"Rapeseed"	"intercrop_vigo"	"phylloc"	"Default"	0.0121604490621569	0.322	0.000244881958575888
"Rapeseed"	"intercrop_vigo"	"phylloc"	"q1"	0.0114285905489825	NA	NA
"Rapeseed"	"intercrop_vigo"	"phylloc"	"q3"	0.0123589772651863	NA	NA
"Rapeseed"	"monocrop_vigo"	"phylloc"	"Default"	0.0123589759194366	0.322	0.000343402692204727
"Rapeseed"	"monocrop_vigo"	"phylloc"	"q1"	0.0118664974870585	NA	NA
"Rapeseed"	"monocrop_vigo"	"phylloc"	"q3"	0.0128098410809507	NA	NA
"Rapeseed"	"monocrop_aviso"	"phylloc"	"Default"	0.0122353637471544	0.422	0.000343250129158935
"Rapeseed"	"monocrop_aviso"	"phylloc"	"q1"	0.0105540897097625	NA	NA
"Rapeseed"	"monocrop_aviso"	"phylloc"	"q3"	0.0134430965959245	NA	NA
"Rapeseed"	"intercrop_aviso_RRF"	"phylloc"	"Default"	0.0123258484610722	0.422	0.000508335494546335
"Rapeseed"	"intercrop_aviso_RRF"	"phylloc"	"q1"	0.0105540897097625	NA	NA
"Rapeseed"	"intercrop_aviso_RRF"	"phylloc"	"q3"	0.0140683406375296	NA	NA
