"DJ"	"DAS"	"sim"	"Expe"	"Type"
633	39	513.394948291546	"SILIGOOT"	"monocrop_vigo"
642	40	526.940702285351	"SILIGOOT"	"monocrop_vigo"
654	41	542.916407616252	"SILIGOOT"	"monocrop_vigo"
667	42	557.716792834516	"SILIGOOT"	"monocrop_vigo"
679	43	569.284366905771	"SILIGOOT"	"monocrop_vigo"
691	44	579.068785720564	"SILIGOOT"	"monocrop_vigo"
704	45	587.913425635225	"SILIGOOT"	"monocrop_vigo"
717	46	595.194009739778	"SILIGOOT"	"monocrop_vigo"
728	47	600.315600175927	"SILIGOOT"	"monocrop_vigo"
739	48	604.627104819426	"SILIGOOT"	"monocrop_vigo"
751	49	608.545768894622	"SILIGOOT"	"monocrop_vigo"
762	50	611.530079002121	"SILIGOOT"	"monocrop_vigo"
769	51	613.169493648512	"SILIGOOT"	"monocrop_vigo"
779	52	615.208440854853	"SILIGOOT"	"monocrop_vigo"
791	53	617.250627216068	"SILIGOOT"	"monocrop_vigo"
801	54	618.668092127252	"SILIGOOT"	"monocrop_vigo"
810	55	619.756864933237	"SILIGOOT"	"monocrop_vigo"
819	56	620.693540099239	"SILIGOOT"	"monocrop_vigo"
828	57	621.498993320391	"SILIGOOT"	"monocrop_vigo"
836	58	622.119485339801	"SILIGOOT"	"monocrop_vigo"
844	59	622.661734417014	"SILIGOOT"	"monocrop_vigo"
854	60	623.244260752758	"SILIGOOT"	"monocrop_vigo"
868	61	623.910755520588	"SILIGOOT"	"monocrop_vigo"
880	62	624.368809004844	"SILIGOOT"	"monocrop_vigo"
890	63	624.685354805258	"SILIGOOT"	"monocrop_vigo"
900	64	624.95244375477	"SILIGOOT"	"monocrop_vigo"
909	65	625.156922787619	"SILIGOOT"	"monocrop_vigo"
920	66	625.367840100273	"SILIGOOT"	"monocrop_vigo"
932	67	625.557068222397	"SILIGOOT"	"monocrop_vigo"
942	68	625.687742255678	"SILIGOOT"	"monocrop_vigo"
