"Species"	"Treatment"	"Parameter"	"Level"	"Value"
"Fababean"	"intercrop_faba_aviso_RRF"	"coeff_width_leaflet1"	"Default"	0.674369883186819
"Fababean"	"intercrop_faba_aviso_RRF"	"coeff_width_leaflet1"	"q1"	0.608143839238498
"Fababean"	"intercrop_faba_aviso_RRF"	"coeff_width_leaflet1"	"q3"	0.736314402810304
"Fababean"	"intercrop_faba_vigo"	"coeff_width_leaflet1"	"Default"	0.739338834306975
"Fababean"	"intercrop_faba_vigo"	"coeff_width_leaflet1"	"q1"	0.681427125506073
"Fababean"	"intercrop_faba_vigo"	"coeff_width_leaflet1"	"q3"	0.765389876880985
"Fababean"	"monocrop_faba"	"coeff_width_leaflet1"	"Default"	0.689338593883058
"Fababean"	"monocrop_faba"	"coeff_width_leaflet1"	"q1"	0.651434426229508
"Fababean"	"monocrop_faba"	"coeff_width_leaflet1"	"q3"	0.737533692722372
"Fababean"	"intercrop_faba_aviso_RRF"	"coeff_width_leaflet2"	"Default"	0.536716014505183
"Fababean"	"intercrop_faba_aviso_RRF"	"coeff_width_leaflet2"	"q1"	0.5
"Fababean"	"intercrop_faba_aviso_RRF"	"coeff_width_leaflet2"	"q3"	0.563741422896353
"Fababean"	"intercrop_faba_vigo"	"coeff_width_leaflet2"	"Default"	0.467897535010638
"Fababean"	"intercrop_faba_vigo"	"coeff_width_leaflet2"	"q1"	0.372549019607843
"Fababean"	"intercrop_faba_vigo"	"coeff_width_leaflet2"	"q3"	0.552631578947368
"Fababean"	"monocrop_faba"	"coeff_width_leaflet2"	"Default"	0.532413621331125
"Fababean"	"monocrop_faba"	"coeff_width_leaflet2"	"q1"	0.5
"Fababean"	"monocrop_faba"	"coeff_width_leaflet2"	"q3"	0.573770491803279
"Fababean"	"intercrop_faba_aviso_RRF"	"coeff_petiole_leaflet1"	"Default"	0.227539887431725
"Fababean"	"intercrop_faba_aviso_RRF"	"coeff_petiole_leaflet1"	"q1"	0.185984354628422
"Fababean"	"intercrop_faba_aviso_RRF"	"coeff_petiole_leaflet1"	"q3"	0.305397727272727
"Fababean"	"intercrop_faba_vigo"	"coeff_petiole_leaflet1"	"Default"	0.19943638296351
"Fababean"	"intercrop_faba_vigo"	"coeff_petiole_leaflet1"	"q1"	0.136363636363636
"Fababean"	"intercrop_faba_vigo"	"coeff_petiole_leaflet1"	"q3"	0.288461538461538
